,國文,英文,數學,地理,歷史,總分,平均
1,69,65,84,83,73,374,74.8
2,77,95,83,76,67,398,79.6
3,83,77,74,89,71,394,78.8
4,98,80,76,88,89,431,86.2
5,68,78,99,90,83,418,83.6
6,64,91,76,61,96,388,77.6
7,84,65,88,87,62,386,77.2
8,83,83,80,91,74,411,82.2
9,67,95,85,90,81,418,83.6
10,75,92,88,84,62,401,80.2
11,91,92,91,82,84,440,88.0
12,76,79,76,82,88,401,80.2
13,82,89,99,91,95,456,91.2
14,61,91,81,60,71,364,72.8
15,65,95,97,60,87,404,80.8
16,95,80,80,72,83,410,82.0
17,98,93,90,64,78,423,84.6
18,60,85,76,68,94,383,76.6
19,78,96,88,90,93,445,89.0
20,77,72,83,63,60,355,71.0
21,94,69,97,62,99,421,84.2
22,69,85,83,65,73,375,75.0
23,83,90,83,96,71,423,84.6
24,98,64,83,74,96,415,83.0
25,68,69,79,63,97,376,75.2
26,96,97,93,85,64,435,87.0
27,62,79,71,96,93,401,80.2
28,70,86,66,62,69,353,70.6
29,98,64,81,66,63,372,74.4
30,79,70,86,81,82,398,79.6
31,81,79,77,77,92,406,81.2
32,85,99,80,97,97,458,91.6
33,61,82,86,93,74,396,79.2
34,68,96,83,92,70,409,81.8
35,92,64,65,74,81,376,75.2
36,86,99,93,72,96,446,89.2
37,74,91,84,84,84,417,83.4
38,88,93,94,61,87,423,84.6
39,86,74,76,90,85,411,82.2
40,62,86,65,71,92,376,75.2
41,63,80,96,60,94,393,78.6
42,87,67,93,91,66,404,80.8
43,93,90,81,70,68,402,80.4
44,63,97,83,94,68,405,81.0
45,60,67,63,97,64,351,70.2
46,61,80,73,60,67,341,68.2
47,95,89,79,62,66,391,78.2
48,76,62,96,71,97,402,80.4
49,85,88,82,90,84,429,85.8
50,90,63,82,99,95,429,85.8
